frame, x, y, z
11,351.021,171.807,1247
11,386.207,172.938,1247
11,421.585,173.934,1256
11,457.554,174.771,1265
11,175.008,185.006,1243
11,209.82,186.877,1247
11,244.763,189.216,1252
11,280.015,191.308,1243
11,315.486,193.02,1238
11,350.294,194.293,1247
11,385.233,195.312,1243
11,420.349,196.209,1252
11,455.975,196.994,1256
11,175.52,208.614,1243
11,210.044,210.152,1243
11,244.578,212.272,1247
11,279.379,214.217,1238
11,314.456,215.778,1243
11,349.437,216.887,1243
11,384.648,217.702,1247
11,420.114,218.391,1243
11,456.173,219.007,1252
11,176.08,233.239,1229
11,210.273,234.333,1243
11,244.308,235.898,1225
11,278.538,237.46,1234
11,313.248,238.735,1234
11,348.586,239.584,1238
11,384.44,240.12,1238
11,420.651,240.525,1234
11,457.269,240.94,1252
11,176.62,258.218,1225
11,210.479,258.877,1243
11,244.045,259.819,1225
11,277.754,260.914,1221
11,312.155,261.846,1234
11,347.947,262.367,1234
11,384.526,262.596,1238
11,421.533,262.706,1234
11,458.703,262.904,1243
11,177.003,283.013,1212
11,210.604,283.287,1247
11,243.887,283.742,1238
11,277.303,284.408,1225
11,311.487,285.005,1221
11,347.711,285.196,1229
11,384.815,285.156,1225
11,422.377,285.028,1229
11,460.008,285.017,1238
12,174.002,103.002,1256
12,209.455,102.949,1256
12,245.033,103.046,1261
12,280.677,103.425,1261
12,316.5,104.01,1261
12,352.977,104.81,1270
12,389.761,105.623,1265
12,426.841,106.351,1270
12,464.002,106.98,1275
12,174.131,123.482,1265
12,209.471,123.784,1247
12,244.953,124.328,1256
12,280.509,125.101,1261
12,316.176,125.999,1261
12,352.155,126.989,1256
12,388.358,127.938,1261
12,424.85,128.771,1261
12,461.56,129.467,1275
12,174.38,143.837,1256
12,209.597,144.567,1247
12,244.969,145.71,1247
12,280.481,146.937,1256
12,316.013,148.139,1256
12,351.45,149.294,1256
12,386.944,150.351,1256
12,422.673,151.276,1256
12,458.883,152.02,1275
12,174.684,164.502,1256
12,209.755,165.705,1252
12,244.971,167.423,1243
12,280.413,169.04,1243
12,315.86,170.466,1247
12,350.803,171.722,1252
12,385.698,172.823,1247
12,420.756,173.798,1256
12,456.481,174.568,1261
12,175.008,186.006,1243
12,209.883,187.639,1243
12,244.849,189.678,1247
12,280.093,191.502,1243
12,315.484,193.019,1238
12,350.112,194.268,1247
12,384.789,195.311,1247
12,419.604,196.234,1252
12,454.978,196.997,1256
12,175.323,209.224,1238
12,209.952,210.62,1243
12,244.56,212.552,1252
12,279.405,214.344,1238
12,314.456,215.812,1243
12,349.309,216.928,1238
12,384.31,217.785,1243
12,419.527,218.508,1243
12,455.388,219.088,1252
12,175.612,233.313,1229
12,209.966,234.39,1243
12,244.152,235.937,1225
12,278.5,237.502,1234
12,313.253,238.798,1234
12,348.527,239.68,1243
12,384.234,240.252,1238
12,420.271,240.671,1238
12,456.751,241.029,1247
12,175.863,257.719,1225
12,209.942,258.489,1243
12,243.742,259.588,1225
12,277.646,260.841,1221
12,312.163,261.905,1234
12,347.955,262.483,1234
12,384.457,262.734,1238
12,421.37,262.835,1234
12,458.461,262.961,1247
12,176.003,282.013,1221
12,209.877,282.511,1243
12,243.451,283.246,1238
12,277.122,284.183,1225
12,311.489,285.008,1221
12,347.772,285.276,1229
12,384.867,285.255,1225
12,422.404,285.106,1234
12,460.008,285.017,1238
13,175.002,103.002,1252
13,210.137,102.934,1256
13,245.392,103.012,1261
13,280.783,103.383,1261
13,316.501,104.011,1261
13,353.154,104.988,1265
13,390.233,106.044,1270
13,427.611,107.058,1270
13,465.003,107.971,1275
13,174.876,123.471,1265
13,209.943,123.756,1247
13,245.157,124.279,1256
13,280.516,125.039,1261
13,316.138,125.969,1261
13,352.306,127.083,1256
13,388.821,128.214,1256
13,425.634,129.267,1261
13,462.584,130.2,1275
13,174.847,143.824,1256
13,209.85,144.54,1252
13,245.035,145.664,1247
13,280.428,146.883,1256
13,315.978,148.109,1256
